Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
-2020,120 min,Thriller,4.3,204,Tanuj Bhramar,Rajeev Khandelwal,Priyamani,Sanjay Suri
-2005,127 min,"Action, Adventure, Comedy",5.4,278,Vinayan,Ajaykumar,Prithviraj Sukumaran,Mallika Kapoor
-2007,300 min,Action,5.6,"1,807",Surender Reddy,Mahesh Babu,Amrita Rao,Ajay
-1990,165 min,"Crime, Drama",2.9,36,Mukhtar Ahmed,Shatrughan Sinha,Anita Raj,Aditya Pancholi
-1978,138 min,"Drama, Romance",6,20,Aravind Sen,Shashi Kapoor,Shabana Azmi,Shatrughan Sinha
-2020,135 min,Comedy,5.9,7,Vipin k Sethie,Manoj Bakshi,Vipin k Sethie,Avnish Pawar
-2010,155 min,Comedy,6.4,"5,383",Ashwani Dhir,Ajay Devgn,Konkona Sen Sharma,Paresh Rawal
-2020,126 min,"Drama, Musical",8.2,"1,763",Shiv Hare,Lydian Nadhaswaram,Sachin Chaudhary,Tamanna Dipak
-2013,171 min,"Biography, Crime, Thriller",6.9,138,A.M.R. Ramesh,Kishore Kumar G.,Arjun Sarja,Raai Laxmi
-1968,142 min,"Comedy, Drama",5.3,25,Kundan Kumar,Jeetendra,Babita Kapoor,Mehmood
-1993,152 min,Drama,3.8,36,Rajkumar Kohli,Vikas Anand,Harbans Darshan M. Arora,Raj Babbar
-1998,160 min,"Comedy, Drama, Romance",4.3,583,Kirti Kumar,Govinda,Raveena Tandon,Harish
-1979,136 min,"Horror, Mystery, Thriller",6,24,Shyam Ramsay,Tulsi Ramsay,Sachin Pilgaonkar,Rajni Sharma
-2007,142 min,Comedy,4.2,36,S. Soni,Krishna Abhishek,Kashmira Shah,Jackie Shroff
-2013,137 min,"Action, Drama, Thriller",6.5,"3,985",Atul Sabharwal,Arjun Kapoor,Sasha Aagha,Prithviraj Sukumaran
-1940,154 min,Drama,7.2,30,Mehboob Khan,Surendra,Sardar Akhtar,Lala Yaqoob
-1967,149 min,"Comedy, Drama",7.4,59,S.S. Balan,S.S. Vasan,Padmini,Pran
-1988,149 min,Drama,4.2,16,Mohanji Prasad,Shoma Anand,Vikas Anand,Raj Babbar
-1998,119 min,Romance,4.8,44,Suresh Krishna,Nagarjuna Akkineni,Mahesh Anand,Babu Mohan
-2016,97 min,"Crime, Drama",5.9,355,Rohit Mittal,Adamya,Sunny Banerjee,Ronjini Chakraborty
-2010,96 min,Drama,6.4,223,Aamir Bashir,Mohammad Amir Naji,Shahnawaz Bhat,Shamim Basharat
-1997,127 min,"Action, Drama, Musical",4.5,976,Sohail Khan,Salman Khan,Sanjay Kapoor,Shilpa Shetty Kundra
-1978,144 min,Drama,6.5,64,I.V. Sasi,Seema,Bahadur,Thoppil Bhasi
-1987,156 min,"Adventure, Mystery, Thriller",5.7,58,B.R. Chopra,Rajesh Khanna,Ashok Kumar,Smita Patil
-1986,171 min,"Action, Crime, Drama",6,44,Umesh Mehra,Mithun Chakraborty,Poonam Dhillon,Bindiya Goswami
-2017,70 min,"Drama, Romance",6,27,Mohit Goswami,Anuj Jain,Vikrant Verma,Apurva Chowdhary
-1983,150 min,Drama,7.2,571,Mohan Kumar,Rajesh Khanna,Shabana Azmi,Sujit Kumar
-1951,193 min,"Drama, Musical, Romance",7.9,"3,813",Raj Kapoor,Raj Kapoor,Nargis,Prithviraj Kapoor
-1990,149 min,Drama,5.9,150,Mahesh Bhatt,Anil Kapoor,Meenakshi Sheshadri,Govinda
-1984,150 min,"Action, Drama, Romance",6.2,46,Shakti Samanta,Rajesh Khanna,Jaya Prada,Rakesh Roshan
-1964,134 min,"Action, Adventure, Drama",5.1,17,B.R. Ishara,Ragini,Ajit,Indira
-2002,158 min,"Action, Comedy, Crime",6.2,"7,775",Vikram Bhatt,Akshay Kumar,Sunil Shetty,Aftab Shivdasani
-2007,126 min,"Action, Crime, Drama",7.3,"6,737",Mohit Suri,Emraan Hashmi,Mrinalini Sharma,Ashish Vidyarthi
-2020,101 min,Drama,8.7,21,Rajat Kumar Chaturvedi,Arjun Chakrabarty,Trishala Idnani,Sarvagya Jain
-2016,131 min,Romance,3.6,5,Yogesh Bharadwaj,Vaarssh Bhatnagar,Sunil Chaurasiyaa,Suhasini Mulay
-2019,104 min,"Comedy, Drama",7,"1,979",Nicholas Kharkongor,Sayani Gupta,Lin Laishram,Jimpa Bhutia
-1969,173 min,"Drama, Romance",6.2,104,Raghunath Jhalani,Asha Parekh,Dharmendra,Ravindra Kapoor
-1982,131 min,Romance,5.1,34,Shakti Samanta,Sanjeev Kumar,Rati Agnihotri,Arun Govil
-1964,146 min,"Drama, Romance",6.4,116,Mohan Kumar,Rajendra Kumar,Saira Banu,Dharmendra
-1991,152 min,Romance,6.2,40,K. Pappu,Avinash Wadhawan,Shaheen,Anupam Kher
-2000,137 min,"Action, Crime, Drama",5.5,27,Shivakumar,Nagesh,Roja,Arjun Sarja
-2001,102 min,Documentary,7.6,432,Pan Nalin,Nicolos Kostopoulos,Vaidya Narayan Murthy,Brahmanand Swamigal
-1955,163 min,"Action, Adventure, Comedy",7.2,136,Sriramulu Naidu S.M.,Dilip Kumar,Meena Kumari,Pran
-1978,154 min,"Action, Comedy, Drama",7.2,82,Pramod Chakravorty,Dharmendra,Hema Malini,Prem Chopra
-1990,153 min,"Action, Drama",5,52,S.A. Chandrashekhar,Rekha,Rishi Kapoor,Jackie Shroff
-1940,140 min,Drama,7.1,11,N.R. Acharya,Leela Chitnis,Ashok Kumar,Hansa Wadkar
-2016,130 min,"Biography, Drama, Sport",5.7,"5,328",Anthony D'Souza,Emraan Hashmi,Nargis Fakhri,Prachi Desai
-2017,117 min,Drama,8.8,5,Vishal Mourya,Bharat Chawla,Nemi Chandra Jha,Moumita Nandi
-2012,95 min,"Crime, Drama, Thriller",6.4,"3,702",Ajay Bahl,Shadab Kamal,Shilpa Shukla,Dibyendu Bhattacharya
-2017,125 min,Drama,2.1,419,Shadab Khan,Shadab Khan,Kritika Sachdeva,Satiiysh Saarathy Sasho
-2021,136 min,"Drama, Romance",8.3,"1,877",Narendra Singh,Sunny Sachdeva,Armaan Sandhu,Ankita Sahu
-2018,103 min,"Action, Comedy, Crime",6.4,446,Vishwas Paandya,Anupam Kher,Annu Kapoor,Manish Paul
-2009,180 min,"Action, Crime, Drama",5.1,302,Ashu Trikha,Mithun Chakraborty,Om Puri,Sohum Shah
-2006,169 min,"Drama, Family, Romance",5.4,"3,157",Ravi Chopra,Amitabh Bachchan,Salman Khan,Hema Malini
-1999,175 min,"Action, Comedy, Crime",6.9,"17,279",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shah Rukh Khan,Twinkle Khanna
-2017,136 min,"Action, Adventure, Thriller",4.9,"4,454",Milan Luthria,Ajay Devgn,Ileana D'Cruz,Emraan Hashmi
-2000,156 min,"Action, Crime, Drama",4.2,208,Rajesh Ram Singh,Sanjay Dutt,Manisha Koirala,Aditya Pancholi
-2016,133 min,"Action, Romance, Thriller",5.2,"7,912",Sabir Khan,Shraddha Kapoor,Tiger Shroff,Sudheer Babu Posani
-2018,137 min,"Action, Thriller",4.8,"9,625",Ahmed Khan,Tiger Shroff,Disha Patani,Manoj Bajpayee
-2020,143 min,"Action, Comedy, Musical",2.1,"10,309",Ahmed Khan,Tiger Shroff,Riteish Deshmukh,Shraddha Kapoor
-1990,157 min,"Action, Drama, Romance",5.7,"1,390",Deepak S. Shivdasani,Salman Khan,Nagma,Shakti Kapoor
-2001,79 min,Family,6.1,10,Apurba Kishore Bir,Ram Awana,Saroj Bhagwar,Roni Bhatt
-2017,127 min,Drama,7.3,16,Nikhil Mahajan,Zakir Hussain,Amruta Khanvilkar,Ravi Khanvilkar
-2019,65 min,Comedy,7,20,Paresh Vinodray Savani,Samiksha Bhatnagar,Rishi Bhutani,Nilofar Gesawat
-2015,138 min,Comedy,6.2,356,Aijaz Khan,Rajpal Yadav,Tia Bajpai,Rakesh Bedi
-1990,152 min,"Action, Comedy, Crime",6,303,Aziz Sejawal,Asrani,Gulshan Grover,Jamuna
-1955,130 min,"Comedy, Drama, Family",6.4,28,Abdul Rashid Kardar,Kishore Kumar,Chand Usmani,Smriti Biswas
-2016,141 min,"Action, Comedy, Drama",5.3,"6,423",Nitya Mehra,Sidharth Malhotra,Katrina Kaif,Sayani Gupta
-2017,124 min,"Comedy, Romance",6.2,179,Syed Ahmad Afzal,Sandeepa Dhar,Archana Gautam,Anurita Jha
-1957,133 min,"Crime, Drama, Romance",7.2,37,Shankar Mukherjee,Dev Anand,Nutan,Anwar Hussain
-2018,48 min,Drama,6.1,271,Tigmanshu Dhulia,Amit Sadh,Taapsee Pannu,Tariq Naved Siddiqui
-2012,135 min,"Action, Crime, Drama",3.2,13,Jagdish Pandey,Sunil Shetty,Shilpa Shirodkar,Moon Moon Sen
-1986,148 min,Comedy,6.4,165,Bharat Rangachary,Zeenat Aman,Amol Palekar,Utpal Dutt
-2013,108 min,"Comedy, Romance",5.1,69,Shuja Ali,Anisa Butt,Ali Fazal,Gulshan Grover
-1962,145 min,"Mystery, Romance, Thriller",6.8,116,Shankar Mukherjee,Dev Anand,Waheeda Rehman,Chandrashekhar
-1953,140 min,"Action, Adventure, Musical",7.3,93,Guru Dutt,Guru Dutt,Geeta Bali,K.N. Singh
-2003,180 min,"Mystery, Thriller",3.2,344,Tinnu Verma,Jackie Shroff,Sunil Shetty,Karisma Kapoor
-2018,137 min,"Crime, Drama, Thriller",6.6,"4,831",Gauravv K. Chawla,Radhika Apte,Saif Ali Khan,Chitrangda Singh
-1951,143 min,"Crime, Drama, Musical",7.3,343,Guru Dutt,Dev Anand,Geeta Bali,Kalpana Kartik
-1968,141 min,"Crime, Musical, Mystery",6.4,60,Moni Bhattacharjee,Waheeda Rehman,Dharmendra,Johnny Walker
-1984,125 min,Action,6.3,65,Raj N. Sippy,Dharmendra,Rekha,Mithun Chakraborty
-1995,183 min,"Action, Thriller, Crime",6.5,"2,248",Ashutosh Gowariker,Aamir Khan,Mamta Kulkarni,Paresh Rawal
-1993,175 min,"Crime, Drama, Musical",7.7,"26,583",Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Shah Rukh Khan,Kajol
-1972,133 min,"Adventure, Comedy, Crime",7.5,6,Karunesh Thakur,Vijayalalitha,Roopesh Kumar,Bindu
-2014,113 min,"Comedy, Drama, Romance",6.7,83,Nila Madhab Panda,Sahil Anand,Erica Fernandes,Parvin Dabas
-1985,148 min,"Drama, Family",7.1,64,A.C. Trilogchander,Rajesh Khanna,Hema Malini,Mala Sinha
-1950,142 min,Drama,7.3,72,S.U. Sunny,Nargis,Dilip Kumar,Amar
-1986,162 min,Drama,4.8,9,Govind Moonis,Gyan Shivpuri,Upasna Singh,Kanchan Rawal
-1985,129 min,"Drama, Sci-Fi",5.9,10,Sadhu Meher,Debu Bramha,Anita Das,Gadi
-2017,122 min,"Action, Crime, Thriller",6.9,"1,974",Kushan Nandy,Nawazuddin Siddiqui,Bidita Bag,Jatin Goswami
-2015,159 min,"Action, Thriller",8,"53,997",Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati
-2008,99 min,"Comedy, Horror, Musical",2.7,71,Salim Raza,Amit,Satyam Rajesh,Jayesh Shah
-2005,130 min,"Comedy, Drama, Romance",2.7,202,Govind Menon,Rekha,Mallika Sherawat,Paresh Rawal
-2008,152 min,"Comedy, Drama, Romance",6.1,"10,674",Siddharth Anand,Ranbir Kapoor,Deepika Padukone,Bipasha Basu
-1970,133 min,"Action, Comedy, Crime",6.3,31,Kolli Pratyagatma,Sulochana Chatterjee,Pratima Devi,Baby Gayatri
-2017,120 min,Drama,8.2,9,Prabhat Kumar,Suvahhdan Angre,Kalpana Bhattarai,Samuel Kamble
-1984,135 min,"Family, Thriller",6.2,12,Feroz Chinoy,Sanjeev Kumar,Parveen Babi,Shatrughan Sinha
-2003,118 min,Thriller,3.3,6,Vicky S. Kumar,Rakesh Bedi,Suresh Chatwal,Avtar Gill
-2009,120 min,"Comedy, Crime, Drama",3.5,17,Varun Khanna,Gaurav Kapoor,Hrishitaa Bhatt,Govind Namdeo
-1973,144 min,"Action, Comedy, Crime",5,22,Deven Verma,Ashok Kumar,Deven Verma,Nikhilesh
-1951,146 min,"Action, Romance",6.7,34,Amiya Chakrabarty,Madhubala,Prem Nath,Purnima
-1966,150 min,"Action, Adventure, Musical",7,10,Aspi Irani,Sheikh Mukhtar,L. Vijayalakshmi,Sanjeev Kumar
-2000,166 min,"Action, Crime, Drama",4.9,"1,281",Raj Kanwar,Bobby Deol,Rani Mukerji,Ashutosh Rana
-1978,136 min,"Drama, Romance",6.7,62,Raghunath Jhalani,Jeetendra,Rishi Kapoor,Reena Roy
-1983,146 min,"Drama, Action, Crime",6.3,118,Bhappi Sonie,Rishi Kapoor,Tina Ambani,Sarika
-1999,146 min,"Comedy, Drama, Romance",3.6,"1,289",Shakeel Noorani,Sunil Shetty,Priya Gill,Paresh Rawal
-1989,138 min,Drama,6,66,Kalpataru,Shammi Kapoor,Rishi Kapoor,Meenakshi Sheshadri
-1998,140 min,"Action, Comedy, Musical",5.8,"2,787",David Dhawan,Amitabh Bachchan,Govinda,Raveena Tandon
-2018,124 min,"Comedy, Drama",8,"29,518",Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao
-2002,155 min,"Comedy, Drama, Musical",4.5,673,Satish Kaushik,Anil Kapoor,Rana Jung Bahadur,Anang Desai
-1987,146 min,Drama,6.9,7,Jugal Debata,Isha Bebarta,Debu Bose,Anu Choudhury
-1993,130 min,"Drama, Family",5.4,14,Kalpataru,Asrani,Raj Babbar,Chandrashekhar
-1969,156 min,"Comedy, Drama, Romance",4.4,11,Narendra Suri,Nanda,Jeetendra,Om Prakash
-1945,122 min,"Drama, War",5.4,9,Master Vinayak,Sitara Devi,Girish,Ishwarlal
-1986,129 min,Drama,6.7,7,Shiv Kumar,Sanjeev Kumar,Apeksha,Sadhana Singh
-1974,112 min,Thriller,6.2,13,Vijay,Shatrughan Sinha,Moushumi Chatterjee,Johnny Walker
-2019,118 min,"Crime, Drama, Mystery",7.8,"23,890",Sujoy Ghosh,Amitabh Bachchan,Taapsee Pannu,Amrita Singh
-1980,134 min,"Action, Drama",7.6,11,Kawal Sharma,Rajendra Kumar,Vinod Mehra,Asha Parekh
-2015,134 min,"Action, Crime, Drama",7.4,"22,324",Sriram Raghavan,Varun Dhawan,Nawazuddin Siddiqui,Yami Gautam
-2014,123 min,Drama,4.7,123,Shailesh Verma,Annu Kapoor,Anupam Maanav,Saranya Mohan
-1982,158 min,"Action, Drama",4.8,59,Rajkumar Kohli,Sunil Dutt,Dharmendra,Jeetendra
-2010,142 min,"Comedy, Crime, Drama",6,"6,466",Parmeet Sethi,Shahid Kapoor,Anushka Sharma,Meiyang Chang
-1998,119 min,Action,2.5,25,Goutam Pawar,Jackie Shroff,Shilpa Shirodkar,Paresh Rawal
-2016,83 min,"Comedy, Drama",4.3,30,Soumik Sen,Gulshan Grover,Rishi Kapoor,Farah Khan
-2015,128 min,"Comedy, Romance",4.6,133,Amit Khanna,Sidhant Gupta,Suzanna Mukherjee,Gunjan Malhotra
-2019,95 min,Comedy,7.1,805,Ashwin Shetty,Patralekhaa Paul,Divyendu Sharma,Dolly Ahluwalia
-1971,100 min,Drama,6.6,10,Prem Kapoor,Nitin Sethi,Nandita Thakur,Nandlal Sharma
-2017,139 min,"Comedy, Drama, Romance",6.1,"10,865",Shashank Khaitan,Varun Dhawan,Alia Bhatt,Sahil Vaid
-2013,103 min,Drama,5.9,14,Laxmikant Shetgaonkar,Paoli Dam,Jean Denis Römer,Cedric Cirotteau
-1989,91 min,Drama,7.7,72,Buddhadev Dasgupta,Pawan Malhotra,M.V. Vasudeva Rao,Archana
-1982,144 min,"Action, Romance",6.4,66,Ramanand Sagar,Dharmendra,Hema Malini,Reena Roy
-1938,159 min,Drama,7.2,8,Abdul Rashid Kardar,Bimla Kumari,B. Nandrekar,Sitara Devi
-2003,181 min,"Drama, Romance",7.4,"15,518",Ravi Chopra,Amitabh Bachchan,Hema Malini,Salman Khan
-2019,137 min,Drama,5.5,6,Karan Kashyap,Raza Murad,Puneet Vashisht,Lalit Parimoo
-1990,145 min,Family,4.7,63,Tariq Shah,Roopa Ganguly,Ram Mohan,Navin Nischol
-1951,170 min,Drama,5.7,18,M.V. Raman,Karan Dewan,Vyjayanthimala,Pran
-1966,139 min,"Drama, Romance",7.1,93,Shaheed Latif,Mala Sinha,Dharmendra,Tanuja
-1967,171 min,"Drama, Romance",7.6,77,Nasir Hussain,Rajesh Khanna,Asha Parekh,Anwar Hussain
-1968,160 min,Mystery,7.1,54,Yakub Hasan Rizvi,Meena Kumari,Dharmendra,Rehman
-2019,120 min,Comedy,8.8,23,Sanjay Puran Singh Chauhan,Narottam Bain,Aamir Bashir,Pawan Malhotra
-1941,156 min,Drama,6,10,Mehboob Khan,Sheikh Mukhtar,Nalini Jaywant,Harish
-1967,167 min,"Comedy, Drama, Romance",6.5,69,M. Sadiq,Ashok Kumar,Pradeep Kumar,Meena Kumari
-1965,132 min,"Drama, Family",6.5,17,T. Prakash Rao,Ashok Kumar,Mala Sinha,Joy Mukherjee
-1985,147 min,Drama,6.3,16,Shashilal K. Nair,Vikas Anand,Bharat Bhushan,B.L. Chopra
-1964,133 min,Drama,6.8,42,T. Prakash Rao,Guru Dutt,Feroz Khan,Nasir Hussain
-1954,168 min,"Adventure, Drama, Fantasy",6.7,24,S.S. Vasan,Madhubala,Ratan Kumar,Agha
-2020,125 min,"Comedy, Crime, Drama",7.3,"3,036",Ashish R. Shukla,Sanjay Mishra,Ram Kapoor,Raghav Juyal
-1952,165 min,"Drama, Musical, Romance",7.4,343,Vijay Bhatt,Meena Kumari,Bharat Bhushan,Surendra
-2021,72 min,Family,9.3,29,Vishwa Bhanu,Vishwa Bhanu,Sangam Shukla,Vijay Thakur
-2013,110 min,"Comedy, Drama, Thriller",5.3,729,Shashant Shah,Tusshar Kapoor,Vinay Pathak,Ranvir Shorey
-2015,158 min,"Action, Drama, History",7.2,"32,073",Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra Jonas
-1976,176 min,Fantasy,7.7,85,Chandrakant,Dara Singh,Biswajit Chatterjee,Moushumi Chatterjee
-2015,163 min,"Action, Adventure, Comedy",8,"78,448",Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui
-1996,163 min,"Action, Drama",2.7,113,Prakash Mehra,Bindu Shukla,Puru Rajkumar,Karisma Kapoor
-2009,74 min,Animation,6.5,46,Pankaj Sharma,,,
-2015,68 min,Animation,4.2,13,Vijay S. Bhanushali,Vidit Kumar,Parminder Ghumman,Sanjeev Tiwari
-2017,81 min,Animation,2.3,9,Vijay S. Bhanushali,Vidit Kumar,Parminder Ghumman,Sanjeev Tiwari
-2019,133 min,Comedy,7.3,"12,370",Amar Kaushik,Ayushmann Khurrana,Bhumi Pednekar,Yami Gautam
-1985,137 min,"Action, Thriller",5.6,54,S.A. Chandrashekhar,Bindu,Anuradha,Vijay Arora
-1971,137 min,Drama,6.8,16,Ravi Tandon,Manoj Kumar,Saira Banu,Dev Kumar
-1976,111 min,"Comedy, Drama, Romance",6.9,229,Tarun Majumdar,Sachin Pilgaonkar,Rajni Sharma,Asrani
-2012,117 min,Drama,8.1,24,Ajita Suchitra Veera,Ashwath Bhatt,Samiksha Bhatt,Tejaswi Bm
-2017,120 min,Comedy,7.5,17,Akhilesh Jaiswal,Anil Charanjeett,Abha Parmar,Ankita Shrivastav
-1968,176 min,Fantasy,5.6,8,Chandrakant,Dara Singh,Savitri,Jayshree Gadkar
-1992,142 min,"Action, Adventure",4.3,179,Deepak Anand,Sunil Shetty,Divya Bharti,Danny Denzongpa
-2014,136 min,Comedy,3.6,50,Sunil Agnihotri,Asrani,Gabriela Bertante,Mikhill Chandiramani
-1968,136 min,"Crime, Drama, Romance",6,13,Khwaja Ahmad Abbas,Surekha,Madhavi,David Abraham
-2020,102 min,Romance,7.2,"1,533",Ranjan Chandel,Aditya Rawal,Shalini Pandey,Vijay Varma
-2006,122 min,"Musical, Drama",6.1,315,Pankaj Parashar,Urmila Matondkar,Ashmit Patel,Dimple Kapadia
-2009,128 min,Drama,3.2,24,Nemom Pushparaj,Harisree Asokan,Anoop Chandran,Devan
-1997,126 min,Comedy,4.2,231,David Dhawan,Govinda,Ramya Krishnan,Kader Khan
-1973,141 min,"Drama, Thriller",6.7,73,Shankar Mukherjee,Dev Anand,Rakhee Gulzar,Yogeeta Bali
-1962,145 min,Drama,6.1,21,Lekhraj Bhakri,Manoj Kumar,Vijaya Choudhury,I.S. Johar
-2010,139 min,"Comedy, Drama, Romance",7.2,"15,583",Maneesh Sharma,Ranveer Singh,Anushka Sharma,Ranjit Batra
-1990,145 min,"Action, Drama, Horror",5.1,298,Shyam Ramsay,Tulsi Ramsay,Hashmat Khan,Manjeet Kular
-1998,154 min,"Action, Drama, Romance",4.8,"1,852",K. Muralimohana Rao,Rajesh Malik,Jackie Shroff,Salman Khan
-1969,159 min,"Drama, Family, Musical",7.2,85,Narendra Bedi,Rajesh Khanna,Mumtaz,Anju Mahendru
-1983,124 min,"Drama, Family",7.1,36,Anil Sharma,Shashi Kapoor,Zeenat Aman,Rakhee Gulzar
-1973,139 min,"Action, Thriller",5.8,100,O.P. Goyle,Mumtaz,Amitabh Bachchan,Ajit
-1992,126 min,Family,7.9,7,Ugyen Chhopel,Abhishek,Danny Denzongpa,Gitanjali
-1957,135 min,"Drama, Family",6.2,27,Satyen Bose,Ashok Kumar,Shyama,Kishore Kumar
-1963,157 min,"Drama, Musical, Romance",7.7,756,Bimal Roy,Ashok Kumar,Nutan,Dharmendra
-1955,129 min,"Comedy, Drama, Musical",7.1,17,Satyen Bose,Ashok Kumar,Meena Kumari,Daisy Irani
-1980,152 min,"Action, Crime, Drama",6.1,47,K. Bapaiah,Rajesh Khanna,Hema Malini,Danny Denzongpa
-1994,119 min,"Biography, Crime, Drama",7.6,"4,518",Shekhar Kapur,Seema Biswas,Nirmal Pandey,Rajesh Vivek
-2013,132 min,"Crime, Thriller",5.9,140,Aditya Om,Manisha Kelkar,Arshad Khan,Ashish Kotwal
-2014,153 min,"Action, Adventure, Comedy",5.6,"22,436",Siddharth Anand,Hrithik Roshan,Katrina Kaif,Pawan Malhotra
